State or UT,Average,Male,Female,N_AVERAGE,M_AVERAGE,F_AVERAGE
A&N islands[UT][citation needed],86.63,90.27,82.43,86.27,90.11,81.84
Andhra Pradesh[a],67.02,74.88,59.15,66.9,80,59.5
Arunachal Pradesh,65.38,72.55,57.70,66.95,73.4,59.50
Assam,72.19,77.85,66.27,85.9,90.1,81.2
Bihar,61.80,71.20,51.50,70.9,79.7,60.5
Chhattisgarh,70.28,80.27,60.24,77.3,85.4,68.8
Chandigarh[UT],86.05,89.99,81.19,86.43,90.54,81.38
Dadra and Nagar Haveli[UT],76.34,85.17,64.32,77.65,86.46,77.65
Daman & Diu[UT],87.10,91.54,79.55,87.07,91.48,87.07
Delhi[UT],86.21,90.94,80.76,88.70,82.40,93.70
Goa,88.70,92.65,84.66,87.4,92.81,81.84
Gujarat,78.03,85.75,69.68,82.4,89.5,74.8
Haryana,75.55,84.06,65.94,80.4,88.0,71.3
Himachal Pradesh,82.80,89.53,75.93,86.6,92.9,80.5
Jammu and Kashmir,67.16,76.75,56.43,77.3,85.7,68.0
Jharkhand,66.41,76.84,55.42,74.3,83.0,64.7
Karnataka,75.36,82.47,68.08,77.2,83.4,70.5
Kerala,94.00,96.11,91.07,96.2,97.4,95.2
Lakshadweep[UT],91.85,95.56,87.95,92.28,96.11,88.25
Madhya Pradesh,69.32,78.73,59.24,73.7,81.2,65.5
Maharashtra,82.34,88.38,75.87,84.8,90.7,78.4
Manipur,76.94,83.58,70.26,79.85,86.49,73.17
Meghalya,74.43,75.95,72.89,75.48,77.17,73.78
Mizoram,91.33,93.35,89.27,91.58,93.72,89.40
Nagaland,79.55,82.75,76.11,80.11,83.29,80.11
Odisha,72.87,81.59,64.01,77.3,84.0,70.3
Puducherry[UT],85.85,91.26,80.67,86.55,92.12,86.55
Punjab,75.84,80.44,70.73,83.7,88.5,78.5
Rajasthan,66.11,79.19,52.12,69.7,80.8,57.6
Sikkim,81.42,86.55,75.61,82.2,87.29,76.43
Tamil Nadu,80.09,86.77,73.44,82.9,87.9,77.9
Telangana,–,None,None,72.8,80.5,65.1
Tripura,87.22,92.53,82.73,87.75,92.18,83.15
Uttarakhand,78.82,87.40,70.01,87.6,94.3,80.7
Uttar Pradesh,67.68,77.28,57.18,73.0,81.8,63.4
West Bengal,76.36,81.69,70.54,80.50,84.80,76.10
