Rank,State,Percentage of households with access to safe drinking water(2011)
1,Kerala,97.6
2,Uttar Pradesh,95.1
3,Bihar,94.0
4,Haryana,93.8
5,Himachal Pradesh,93.7
6,Maharashtra,92.5
7,Uttarakhand,92.2
8,West Bengal,92.2
9,Punjab,90.5
10,Gujarat,90.3
11,Karnataka,87.5
12,Chhattisgarh,86.3
13,Goa,85.7
14,Sikkim,85.3
15,Tamil Nadu,83.4
16,Arunachal Pradesh,78.6
17,Rajasthan,78.1
18,Madhya Pradesh,78.0
20,Odisha,75.3
21,Assam,69.9
22,Tripura,67.5
23,Mizoram,60.4
24,Jharkhand,60.1
25,Nagaland,53.8
26,Manipur,45.4
27,Meghalaya,44.7
28,Andhra Pradesh,33.5
U/T,Chandigarh,99.3
U/T,Daman and Diu,98.7
U/T,Puducherry,97.8
U/T,Delhi,95.0
U/T,Dadra and Nagar Haveli,91.6
U/T,Andaman and Nicobar Islands,85.5
U/T,Jammu and Kashmir,76.8
U/T,Lakshadweep,22.8
